video,source_csv,total_frames,trex_detected,trex_pct,arena_tracked,arena_pct,inner_frames,events,note
2025-06-04 15-16-20,2025-06-04 15-16-20_id0_new.csv,13047,1332,10.2,1332,10.2,793,57,
2025-05-08 14-44-16,2025-05-08 14-44-16_id0_new.csv,13007,1649,12.7,1649,12.7,1552,29,
2025-05-29 15-19-52,2025-05-29 15-19-52_id0_new.csv,7961,1170,14.7,1170,14.7,859,54,
2025-06-03 16-57-23,2025-06-03 16-57-23_id0_new.csv,8653,1376,15.9,1376,15.9,901,67,
2025-05-07 17-04-05,2025-05-07 17-04-05_id0_new.csv,9836,1675,17.0,1675,17.0,1318,34,
2025-04-29 15-10-21,2025-04-29 15-10-21_id0_new.csv,9703,1691,17.4,1691,17.4,992,24,
2025-06-03 15-49-45,2025-06-03 15-49-45_id0_new.csv,18968,3486,18.4,3486,18.4,2867,240,
2025-04-29 15-01-47,2025-04-29 15-01-47_id0_new.csv,10477,1947,18.6,1947,18.6,914,47,
2025-04-29 15-22-35,2025-04-29 15-22-35_id0_new.csv,7929,1495,18.9,1495,18.9,1095,28,
2025-04-22 16-28-22,2025-04-22 16-28-22_id0_new.csv,14953,3064,20.5,3064,20.5,821,151,
2025-05-26 16-58-30,2025-05-26 16-58-30_id0_new.csv,6296,1318,20.9,1318,20.9,980,39,
2025-05-29 15-11-25,2025-05-29 15-11-25_id0_new.csv,8865,2202,24.8,2202,24.8,1620,101,
2025-05-29 13-29-54,2025-05-29 13-29-54_id0_new.csv,9977,2628,26.3,2628,26.3,2338,60,
2025-05-29 13-36-00,2025-05-29 13-36-00_id0_new.csv,5754,1557,27.1,1557,27.1,997,91,
2025-05-29 15-02-59,2025-05-29 15-02-59_id0_new.csv,11340,3096,27.3,3096,27.3,2187,161,
2025-04-29 16-19-08,2025-04-29 16-19-08_id0_new.csv,13411,3769,28.1,3769,28.1,2462,93,
2025-06-05 14-32-12,2025-06-05 14-32-12_id0_new.csv,1950,560,28.7,560,28.7,162,21,
2025-05-07 17-25-05,2025-05-07 17-25-05_id0_new.csv,7477,2164,28.9,2164,28.9,2013,42,
2025-05-29 14-43-13,2025-05-29 14-43-13_id0_new.csv,12828,3797,29.6,3797,29.6,3197,264,
2025-06-03 16-21-19,2025-06-03 16-21-19_id0_new.csv,11955,3638,30.4,3638,30.4,1917,92,
2025-05-28 15-08-40,2025-05-28 15-08-40_id0_new.csv,11698,3587,30.7,3587,30.7,1263,152,
2025-06-04 15-07-54,2025-06-04 15-07-54_id0_new.csv,10281,3226,31.4,3226,31.4,503,39,
2025-06-03 14-57-02,2025-06-03 14-57-02_id0_new.csv,26676,9073,34.0,9073,34.0,7528,192,
2025-04-29 15-59-32,2025-04-29 15-59-32_id0_new.csv,12410,4228,34.1,4228,34.1,2782,95,
2025-05-29 15-26-10,2025-05-29 15-26-10_id0_new.csv,12564,4327,34.4,4327,34.4,1962,99,
2025-05-28 15-19-42,2025-05-28 15-19-42_id0_new.csv,12391,4261,34.4,4261,34.4,3178,143,
2025-06-03 16-46-45,2025-06-03 16-46-45_id0_new.csv,16772,5843,34.8,5843,34.8,3512,163,
2025-05-29 14-54-55,2025-05-29 14-54-55_id0_new.csv,9217,3242,35.2,3242,35.2,1842,58,
2025-05-08 14-57-59,2025-05-08 14-57-59_id0_new.csv,12482,4624,37.0,4624,37.0,4407,83,
2025-06-03 15-59-10,2025-06-03 15-59-10_id0_new.csv,6598,2485,37.7,2485,37.7,1404,61,
2025-06-04 12-37-31,2025-06-04 12-37-31_id0_new.csv,8783,3381,38.5,3381,38.5,1784,99,
2025-06-04 13-06-09,2025-06-04 13-06-09_id0_new.csv,19950,7784,39.0,7784,39.0,2241,225,
2025-05-07 16-57-09,2025-05-07 16-57-09_id0_new.csv,7310,2869,39.2,2869,39.2,2624,62,
2025-05-28 15-33-02,2025-05-28 15-33-02_id0_new.csv,13105,5189,39.6,5189,39.6,4548,193,
2025-06-05 15-04-14,2025-06-05 15-04-14_id0_new.csv,3639,1541,42.3,1541,42.3,602,45,
2025-06-04 12-56-20,2025-06-04 12-56-20_id0_new.csv,15863,6749,42.5,6749,42.5,5435,149,
2025-06-03 16-10-59,2025-06-03 16-10-59_id0_new.csv,8322,3586,43.1,3586,43.1,2208,92,
2025-05-07 16-51-22,2025-05-07 16-51-22_id0_new.csv,2466,1094,44.4,1094,44.4,687,38,
2025-05-29 14-06-42,2025-05-29 14-06-42_id0_new.csv,15781,7083,44.9,7083,44.9,6691,132,
2025-04-29 16-08-30,2025-04-29 16-08-30_id0_new.csv,12854,5807,45.2,5807,45.2,4731,265,
2025-05-08 14-13-21,2025-05-08 14-13-21_id0_new.csv,8198,3725,45.4,3725,45.4,1317,29,
2025-05-28 15-00-21,2025-05-28 15-00-21_id0_new.csv,6052,2751,45.5,2751,45.5,1364,57,
2025-05-29 14-34-30,2025-05-29 14-34-30_id0_new.csv,15825,7240,45.8,7240,45.8,4297,193,
2025-06-04 14-22-16,2025-06-04 14-22-16_id0_new.csv,14876,7083,47.6,7083,47.6,4756,149,
2025-04-28 15-23-08,2025-04-28 15-23-08_id0_new.csv,11725,5813,49.6,5813,49.6,4864,105,
2025-05-08 15-32-19,2025-05-08 15-32-19_id0_new.csv,6142,3068,50.0,3068,50.0,3019,108,
2025-04-28 15-38-13,2025-04-28 15-38-13_id0_new.csv,11902,6223,52.3,6223,52.3,3103,66,
2025-05-28 15-39-56,2025-05-28 15-39-56_id0_new.csv,2634,1383,52.5,1383,52.5,1121,20,
2025-04-28 16-24-50,2025-04-28 16-24-50_id0_new.csv,1093,590,54.0,590,54.0,216,12,
2025-05-08 15-38-00,2025-05-08 15-38-00_id0_new.csv,8504,4657,54.8,4657,54.8,4554,156,
2025-06-05 15-16-32,2025-06-05 15-16-32_id0_new.csv,3038,1666,54.8,1666,54.8,657,41,
2025-06-03 15-28-05,2025-06-03 15-28-05_id0_new.csv,9555,5359,56.1,5359,56.1,4182,118,
2025-05-29 13-19-33,2025-05-29 13-19-33_id0_new.csv,15955,9063,56.8,9063,56.8,8441,228,
2025-04-29 15-41-49,2025-04-29 15-41-49_id0_new.csv,7764,4433,57.1,4433,57.1,3309,71,
2025-04-28 16-16-55,2025-04-28 16-16-55_id0_new.csv,15461,8916,57.7,8916,57.7,1276,82,
2025-05-08 15-44-06,2025-05-08 15-44-06_id0_new.csv,20700,12030,58.1,12030,58.1,7553,224,
2025-06-05 14-22-31,2025-06-05 14-22-31_id0_new.csv,3392,1979,58.3,1979,58.3,1284,46,
2025-06-04 14-54-42,2025-06-04 14-54-42_id0_new.csv,12299,7531,61.2,7531,61.2,6764,138,
2025-04-25 12-45-27,2025-04-25 12-45-27_id0_new.csv,6712,4272,63.6,4272,63.6,2,94,
2025-05-07 16-42-46,2025-05-07 16-42-46_id0_new.csv,7929,5053,63.7,5053,63.7,3058,95,
2025-04-28 16-50-56,2025-04-28 16-50-56_id0_new.csv,19669,12560,63.9,12560,63.9,6490,285,
2025-06-04 14-29-59,2025-06-04 14-29-59_id0_new.csv,23492,15181,64.6,15181,64.6,9958,400,
2025-06-04 12-12-05,2025-06-04 12-12-05_id0_new.csv,10746,7027,65.4,7027,65.4,2753,114,
2025-06-05 12-25-11,2025-06-05 12-25-11_id0_new.csv,17685,11992,67.8,11992,67.8,7407,122,
2025-04-28 15-50-43,2025-04-28 15-50-43_id0_new.csv,18840,13145,69.8,13145,69.8,7252,65,
2025-05-08 15-08-03,2025-05-08 15-08-03_id0_new.csv,5677,4049,71.3,4049,71.3,2649,54,
2025-05-29 14-23-33,2025-05-29 14-23-33_id0_new.csv,11390,8267,72.6,8267,72.6,8169,146,
2025-05-07 17-30-50,2025-05-07 17-30-50_id0_new.csv,14039,10236,72.9,10236,72.9,10236,115,
2025-05-29 13-55-35,2025-05-29 13-55-35_id0_new.csv,3864,2818,72.9,2818,72.9,1846,74,
2025-06-05 13-59-27,2025-06-05 13-59-27_id0_new.csv,395,290,73.4,290,73.4,205,9,
2025-05-08 15-23-48,2025-05-08 15-23-48_id0_new.csv,3791,2870,75.7,2870,75.7,2201,39,
2025-06-04 12-44-36,2025-06-04 12-44-36_id0_new.csv,17062,13109,76.8,13109,76.8,11670,171,
2025-04-29 16-29-33,2025-04-29 16-29-33_id0_new.csv,6246,4828,77.3,4828,77.3,4622,59,
2025-05-07 17-19-04,2025-05-07 17-19-04_id0_new.csv,9394,7572,80.6,7572,80.6,7089,52,
2025-05-07 17-10-46,2025-05-07 17-10-46_id0_new.csv,9950,8047,80.9,8047,80.9,7902,95,
2025-04-28 16-38-51,2025-04-28 16-38-51_id0_new.csv,13825,11347,82.1,11347,82.1,1710,150,
2025-05-07 15-43-17,2025-05-07 15-43-17_id0_new.csv,19801,18158,91.7,18158,91.7,18158,70,
